word,etymonline,emeaning,cmeaning
refute,"from re- ""back"" (see re-) + -futare ""to beat"" probably from PIE root *bhat- ""to strike down"" (cf. bat (n.1)) => 打回去(质疑) // refuse // reoute",declare not to be true,vt. 否认
secular,"from L. saecularis ""of an age, occurring once in an age"" => 修道院外的传教士 // 反义 unwordly",worldly or temporal,"adj. 世俗的, 尘世的"
valve,"related to volvere ""to roll"" (see vulva)",To provide with a valve,
watershed,,turning point,"n. 重要关头, 分水岭"
curtail,curt 唐突的/简明的/被缩短的 + -ault pejorative 恶化的 suffix of Germanic origin.,less in extent or duration,"vt. 缩短, 削减"
eject,"from ex- ""out"" (see ex-) + -icere, comb. form of iacere ""to throw"" (see jet (v.))",banish / discharge / expel / dismiss,
eschew,see shy (v.) // es- = ex- // = avoid // hew 遵守 / = shun,avoid,"vt. 刻意避开, 戒绝"
exert,"from ex- ""out"" (see ex-) + serere ""attach, join"" (see series)",apply / employ / utilize,
gravity,,,
ornament,"ornate: from stem of ordo ""order"" (see order (n.))",embellishment,
pessimistic,"pessimism 悲观 originally ""bottom-most"" from PIE *ped-samo-, superlative of root *pes- ""foot"" (see foot (n.)) => 跌倒谷底的 // = despairing // F optimistic = sanguine",taking the gloomist possible view,adj. 悲观的
postulate,/ = presuppose // F belie = disprove,"1. something used as a starting point
2. assume as true","n. 假定, 假设
v. 假定为真"
proton,"protos ""first"" (see proto-)",,
provocative,from provoke,inciting / inflammatory / arousing,
taboo,,prohibition / ban,
triumph,,victory / accomplishment,
turbulent,turbid // disturb // turbid (河水空气)混浊 / imperturbable,disturbance,adj. 动荡的
wasp,,,
acute,,"1. keen discernment
2. extreme","adj. 敏锐的
adj. (程度、影响)极强的"
didactic,"from PIE root *dens- ""wisdom, to teach, learn"" => 叨叨叨的 // dictionary 教说话的 => 词典 / = pedantic",teach,"adj. 喜欢说教的, 思修的"
echo,,copy / mirror / imitate,
feminism,feminine,feminine,
gland,,,
illusory,"in- ""at, upon"" (see in- (2)) + ludere ""to play"" (see ludicrous 滑稽的) => 处于滑稽(状态)",illusion,"adj. 幻觉的, 虚幻的"
improvise,"in- ""not, opposite of"" (see in- (1)) + provisus ""foreseen"" also ""provided"" pp. of providere ""foresee, provide"" (see provide 供应) => 没供应的状态下创作 // vision / impromptu",perform with little or no preparation,v. 即兴而作
judicial,from judge,,
mitigate,"ultimately from mitis ""gentle, soft"" (from PIE *mei- ""mild"") + root of agere ""do, make, act"" (see act) / mild + act => 使变软// = assugate (suage- = sugar)",less severe,"vt. 减轻痛苦, 使缓和"
nebula,,,
neuron,,,
precede,"from prae ""before"" (see pre-) + cedere ""to go"" (see cede)",predate / exceed / eclipse,
seismic,,"Of, subject to, or caused by an earthquake or earth vibration",
sensational,,,
suppliant,,prayerful / pleading / petitionary,
veto,/,"forbid, prohibit","n. /vt. 否决, 禁止"
aristocracy,"from PIE *ar-isto-, superlative form of *ar- ""to fit together;"" see arm (1)) + kratos ""rule, power"" (see -cracy)",elite / nobility,
austere,"from PIE *saus- ""dry""",simple,"adj. 朴素的, 朴实无华的"
cathedral,"from PIE root *sed- ""to sit"" (see sedentary)",church,
chorus,,choir / chorale,
confront,"from L. com- ""together"" (see com-) + frontem (nom. frons) ""forehead"" (see front (n.))",come face to face with hostility,"vt. 直接对抗, 直面"
conifer,"from conus ""cone"" (see cone) + ferre ""to bear"" (see infer)","Any of various mostly needle-leaved or scale-leaved, chiefly evergreen, cone-bearing gymnospermous trees or shrubs such as pines, spruces, and firs",
crater,,,
culminate,"column [from PIE root *kel- ""to project"" (see hill)] => 支柱 => 顶点",triumphant conclusion,v. 达到高潮
distort,"from dis- ""completely"" + torquere ""to twist"" (see thwart)",twist,"vt. 扭曲, 歪曲"
eclectic,"from ek ""out"" (see ex-) + legein ""gather, choose"" (see lecture (n.)) =>""borrowed from diverse sources"" / electric 电流",from various sources,"adj. 混合的, 多元化的"
elicit,"from ex- ""out"" (see ex-) + -licere, comb. form of lacere ""to entice, lure, deceive"" (related to laqueus ""noose, snare"" see lace)",bring out ,"vt. 激起, 唤起"
exacting,"exact 准确的 from ex- ""out"" (see ex-) + agere ""drive, lead, act"" (see act) / = proscriptive","1. rigorous
2. repuiring effort","adj. 严格的, 苛求的
adj. 费时间花心思的"
forage,"from *fodr ""food"" see fodder 草料 [from PIE *patrom, from *pa- ""to feed"" (see food)] => 饲料 => 找食",search,vi. 寻找
homogeneous,"from homos ""same"" (see homo- (1)) + genos ""kind, gender, race, stock"" (see genus)",idential / consistent,
immense,"from assimilated form of in- ""not, opposite of"" (see in- (1)) + mensus ""measured,"" pp. of metiri (see measure)",titanic / enormous / tremendous,
intrinsic,"from intra ""within"" (see intra-) + secus ""alongside"" originally ""following"" (related to sequi ""to follow"" see sequel) // = inborn // F extraneous = extrinsic",essential,"adj. 固有的, 内在的"
manifest,"""caught in the act"" probably from manus ""hand"" (see manual) + -festus ""struck"" (cf. second element of infest) / infest 骚扰 // = reveal = obvious","1. understanding
2. make evident","adj. 显然的, 明显易懂的
v. 显现, 显露"
meager,macro // = paltry = sparse // F copious = plentiful,deficient,adj. 贫乏的
mundane,cosmos // = secular // F spiritual = ethereal,commonplace,adj. 平凡的
preservative,see preserve,,
prevalent,"""to be more able"" (see prevail [from prae ""before"" (see pre-) + valere ""have power, be strong"" (see valiant 英勇的)]) / convalesce / equivalent / ambivalent / prevail / valid // = dominant // F absent = rare",commonly accepted,"adj. 流行的, 普遍的"
pristine,"prime from PIE root *per- ""beyond"" *pro- ""before"" (see pre-) // = immaculate // F contaminated = besmirched ",remaining in a pure state,"adj. 纯净的, 质朴的, 未被文明腐蚀的"
secrete,secretion 分泌,"1. conceal
2. generate","vt. 隐藏/分泌
vt. 分泌"
shed,possibly a variant of shade (q.v.),cottage / shelter,
utilitarian,,utility / functional,
aberrant,"from ab- ""away"" (see ab-) + errare ""to wander"" (see err) => 跑偏 // = anomalous // F normal = typical","deviating 背离 [from de ""off"" (see de-) + via ""way"" (see via)]","adj. 异常的, 非常规的"
ambivalent,"from L. ambi- ""both"" (see ambi-) + valentia ""strength"" / convalesce / equivalent / prevail / valid",opposing feelings,adj. (尤指感情、态度)矛盾的
arrest,"from L. ad- ""to"" (see ad-) + restare ""to stop, remain behind, stay back"" (see rest (2))","1. stopping to a standstill
2. keep under one’s control
3. hold attention","n. /v. 停止
v. 逮捕
v. 吸引(某人)注意力"
capricious,capriccio 幻想曲,unpredictable / impulsive / cavalier / versatile,
cerebral,"from PIE *keres-, from root *ker- ""top of the head.""",intellectual,
compress,"from com- ""together"" (see com-) + premere ""to press"" (see press (v.1))",reduce in size or volume,v. 压缩(体积)
comprise,from L. comprehendere (see comprehend),consist of / contain,
conceivable,"from com-, intensive prefix (see com-), + comb. form of capere ""to take,"" from PIE *kap- ""to grasp"" (see capable) => take into the mind",,
concrete,"from com- ""together"" (see com-) + crescere ""to grow"" (see crescent 渐圆的, 渐强的/新月状的) / = conclusive",in fact,"adj. 事实性的, 明确的/混凝土"
derivative,from pp. stem of L. derivare (see derive) // derive 派生 // F innovative 进入新的状态 / 这词在其他词汇的解释里面出现过,lacking originality,adj. 非原创的/演化的
dual,"from duo ""two""",double / twofold,
embellish,"from em- (see en- (1)) + bel ""beautiful""",decorate / adorn / garnish / embroider,
emulate,"from PIE *aim- olo, from root *aim- ""copy"" (see imitation) => 效仿(通过模仿超越) // = simulate",excel 杰出 through imitation,vt. 效仿
forge,// forged = fake,"1. imitate falsely
2. form","v. 伪造
v. 锻造, 铸就/锻铁炉"
genius,"from root of gignere ""beget, produce"" (see kin), from PIE root *gen- ""produce.""",,
globule,"from L. globulus, dim. of globus ""globe"" (see globe)",dewdrop / bead,
